Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,104,C_0805_2012Metric,298.580837,-112.974174,315,bottom
C2,104,C_0805_2012Metric,288.925,-83.2,270,bottom
C3,104,C_0805_2012Metric,307.18125,-43.65625,180,bottom
C4,104,C_0805_2012Metric,423.8625,-44.45,180,bottom
C5,1uF,C_0805_2012Metric,357.5,-123.0625,90,bottom
C6,1uF,C_0805_2012Metric,375.25,-116.4375,270,bottom
C7,1uF,C_0805_2012Metric,370.03125,-127,0,bottom
C8,1uF,C_0805_2012Metric,358,-114.6875,270,bottom
C9,22pF,C_0805_2012Metric,380.8125,-121.5,0,bottom
C10,22pF,C_0805_2012Metric,380.75,-115.75,180,bottom
C11,1uF,C_0805_2012Metric,365.5,-108.5,180,bottom
C12,104,C_0805_2012Metric,443.70625,-83.34375,90,bottom
C13,104,C_0805_2012Metric,434.312087,-113.375413,45,bottom
C14,104,C_0805_2012Metric,365.91875,-98.425,0,bottom
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,294.4125,-117.4625,315,bottom
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,282.5625,-83.4125,270,bottom
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,307.1125,-38.1,180,bottom
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,423.79375,-38.1125,180,bottom
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,448.46875,-83.4125,90,bottom
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,438.15,-117.475,45,bottom
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,365.91875,-92.86875,0,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric,331.5,-43.15,90,bottom
R1,220,R_0805_2012Metric,364,-58.5625,270,bottom
R2,22,R_0805_2012Metric,324,-48.6875,90,bottom
R3,22,R_0805_2012Metric,326.75,-48.6875,90,bottom
R4,10K,R_0805_2012Metric,375.8125,-110.25,180,bottom
R5,10K,R_0805_2012Metric,360.5,-127,0,bottom
R6,5.1k,R_0805_2012Metric,322.25,-42.9375,90,bottom
R7,5.1k,R_0805_2012Metric,327.25,-43,90,bottom
R8,220,R_0805_2012Metric,317.5,-90.1875,270,bottom
R9,220,R_0805_2012Metric,336.5,-89.4375,270,bottom
R10,220,R_0805_2012Metric,374.75,-89.1875,270,bottom
R11,220,R_0805_2012Metric,412.75,-89.4375,270,bottom
R12,220,R_0805_2012Metric,333.5,-127.6875,270,bottom
R13,220,R_0805_2012Metric,398.25,-124.3125,270,bottom
SW1,SW_Push,SKQG-1155865,382.35,-108.4,0,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,365.91875,-119.0625,270,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,324.64375,-30,0,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,380.85,-118.6,180,bottom